Black,BlackElo,White,WhiteElo,Date,Event,First Move,Category,Weekday
michaelagung1109,2132,justplaychess96,2080,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
eburakozkann,1180,showmeyourchess,1267,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
templar33,1160,Spray6,1039,2019.05.01,Rated Bullet game,Nf3,Bullet,Wednesday
TWillums,1357,titoamira,1334,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
alexkiddo,1152,boygenny,1144,2019.05.01,Rated Classical game,e4,Classical,Wednesday
Teaganwells,1428,reynoso,1277,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
Eduardo_falcao_zika,1108,jacobhrussell,1177,2019.05.01,Rated Blitz game,c4,Blitz,Wednesday
zZirving-_-Zz,1172,TwiKnight,859,2019.05.01,Rated Blitz tournament https://lichess.org/tournament/Yqy59ibY,d4,Blitz,Wednesday
chesskien,1458,chicao1985,1414,2019.05.01,Rated Classical game,d4,Classical,Wednesday
MajorWarren,1427,oeps,1890,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
Niix,1615,Thebigusy,1729,2019.05.01,Rated Classical game,e4,Classical,Wednesday
lagmazzi,1608,AutismPride,1626,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
MetaMeta,1128,Mdellantonio02,1019,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
Pablo_MN,1752,samckp,1766,2019.05.01,Rated Blitz game,Nf3,Blitz,Wednesday
RinkoChan,1637,Battlefield64,1650,2019.05.01,Rated Blitz game,f3,Blitz,Wednesday
kann2014,1304,vtc777,1228,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
csowerby,1504,same7nakash,1500,2019.05.01,Rated Classical game,Nc3,Classical,Wednesday
pyreflies,1742,bilgolberth,1793,2019.05.01,Rated Bullet game,d4,Bullet,Wednesday
luanaredes,1410,benpayet,1412,2019.05.01,Rated Classical game,d4,Classical,Wednesday
VovaVodka,1197,ropkv9,1236,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
koke1008,1083,yorke,1219,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
dnowmects,1968,naturalright,2038,2019.05.01,Rated Blitz game,d3,Blitz,Wednesday
TheDonagni,1316,PabloMatamoros4,1320,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
akm_reddy,1470,b1-tch_shop,1480,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
MrGambito,1529,Jorge1996,1536,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
BryanEgbert,1346,ivan-nob,1314,2019.05.01,Rated Classical game,e4,Classical,Wednesday
DTalavera,2301,NB4,2423,2019.05.01,Rated Bullet game,d4,Bullet,Wednesday
OrugaOlga,962,chetanator,1091,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
Ochum,1880,Achelous1,1861,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
AcostaSC,1863,joker-anonymous,1683,2019.05.01,Rated Bullet tournament https://lichess.org/tournament/8tAYgKUQ,e4,Bullet,Wednesday
ZeuqirneH,2030,Gatorgg,2107,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
Radek31,1102,janelaspretas,823,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
ibnelshaykh_ehab,1277,One_Timex2,1238,2019.05.01,Rated Classical game,e3,Classical,Wednesday
bluetree71,1243,FilipeRbk,1213,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
MetaMeta,1135,adasen,1204,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
p4dbnu,1099,Navarro03,1114,2019.05.01,Rated Blitz tournament https://lichess.org/tournament/kLlVvIBg,e4,Blitz,Wednesday
SyedJibran,1552,fulesp,1532,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
alfredmac,1717,adamstrange,1646,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
Amirali19850,1341,mottabr,1235,2019.05.01,Rated Rapid game,d4,Rapid,Wednesday
krish466,1514,cocal49,1518,2019.05.01,Rated Blitz tournament https://lichess.org/tournament/kLlVvIBg,e4,Blitz,Wednesday
MateusSantos,1516,khalishnazhan,1346,2019.05.01,Rated Rapid tournament https://lichess.org/tournament/klFc7Llv,d4,Rapid,Wednesday
tyrannosauruz,913,naratito,953,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
kamudhar,900,chetanator,1102,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
TheLoBok,1258,kidwiz0101,1258,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
Turgueniev,1579,Xyanthos,1582,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
Mario-Rx,1923,DaViDaRsOn,1835,2019.05.01,Rated Classical game,e4,Classical,Wednesday
sarojpawn111,1726,Artifice7,1731,2019.05.01,Rated Blitz game,Nf3,Blitz,Wednesday
dante21w,1959,shirly,1876,2019.05.01,Rated Blitz tournament https://lichess.org/tournament/cys6szAs,c4,Blitz,Wednesday
daddyjt1998,1316,Hamada-Nasr,1158,2019.05.01,Rated Blitz game,c4,Blitz,Wednesday
bpremchander,1340,my300men,1303,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
zai00205,1267,Fearicae,1276,2019.05.01,Rated Blitz game,c4,Blitz,Wednesday
AndersonKoala,1169,phgervasi,1178,2019.05.01,Rated Classical game,a3,Classical,Wednesday
real_manbearpig,1590,skywalker100,1554,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
dKoco,1541,ultraberto,1583,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
lautikz,1103,alandpost,1278,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
Apyr,1635,tattiostspb,1637,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
Mister_Fahrenheit,1866,khaledkh91,1868,2019.05.01,Rated Classical game,e4,Classical,Wednesday
szymonsos,1474,AliadoJedi,1501,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
aamendes,1657,Smoov-E,1734,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
Gibbilo,1058,TWARchong,1160,2019.05.01,Rated Bullet game,Nh3,Bullet,Wednesday
gsaibabu,1763,tapos,1624,2019.05.01,Rated Rapid game,d4,Rapid,Wednesday
sophie3,1974,Nimzyz,1910,2019.05.01,Rated Bullet game,d4,Bullet,Wednesday
Aiks,1565,hatmah,1544,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
jurnier,1500,vitoroliveirars,1835,2019.05.01,Rated Rapid game,d4,Rapid,Wednesday
EddySam,1611,chess_daus,1588,2019.05.01,Rated Classical game,e4,Classical,Wednesday
djc367,1636,claudiio62,1669,2019.05.01,Rated Classical game,e4,Classical,Wednesday
GravitysRainbow,1461,redMD13,1547,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
marqizio,1127,diegodpr1,1101,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
Viruta,1853,Prakhar93,1893,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
kapilpsg,1458,Gasda-Kayaks,1482,2019.05.01,Rated Bullet game,d3,Bullet,Wednesday
josueantuneschess,1302,Shargon,1284,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
RF2007x,1664,Fler,1689,2019.05.01,Rated Rapid game,d4,Rapid,Wednesday
yeaes,1450,DrMetzgermeister,1437,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
jaybird922,1611,as_at,1628,2019.05.01,Rated Classical game,e4,Classical,Wednesday
Daniel1064,1375,xtine88,1310,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
puredepapa3,1625,yonimeacuerdo,1607,2019.05.01,Rated Rapid game,d4,Rapid,Wednesday
u914013,1916,Shuay,1779,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
TonyR011,1376,rudy941,1390,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
rodtl,1755,panlasko,1899,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
Milan9990,1339,montainne,1299,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
diegors1,990,lLibertusl,850,2019.05.01,Rated Blitz game,Nf3,Blitz,Wednesday
tchakh,1272,mohammedarrami,2416,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
sasuke87,1030,AamerAnwer,1010,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
Dortmund2010,2127,DewiTasya1995,1179,2019.05.01,Rated Blitz tournament https://lichess.org/tournament/3W7gysWJ,d4,Blitz,Wednesday
Berna016,1087,GreyWhite424,1016,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
me_sha,1450,LucasMarques21,1341,2019.05.01,Rated Blitz game,c4,Blitz,Wednesday
chuckwenzler,1350,omarnoor,1192,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
TwiKnight,920,NOQUEENNEEDED,1143,2019.05.01,Rated Blitz tournament https://lichess.org/tournament/Yqy59ibY,d4,Blitz,Wednesday
navab68,1527,kenkz,1692,2019.05.01,Rated Classical game,e4,Classical,Wednesday
Mrbryanrage,1102,joeboff,1089,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
masoodomidian,1810,Not_Chinese,1870,2019.05.01,Rated Rapid game,d4,Rapid,Wednesday
