Black,BlackElo,White,WhiteElo,Date,Event,First Move,Category,Weekday
Pekkafurieux,1230,Yami99,1149,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/c2fkQKYI,d4,Blitz,Tuesday
Khover,1533,robert57,1552,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
KINSKIPAGANINI,1322,finik01,1356,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
angelaguero,2352,paryokha,2310,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
StefanoVelazquez,1895,sjerr,1981,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
edumarga,1322,samuel_victor,1274,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
quiqueheres,1756,ROGERINHO17,1494,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
Phwess,1484,zlreitz,1503,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
leafylief,1381,yolococo68,1317,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
utkuarss,898,M7tar,933,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
Nenrod,1469,Vekviking,1503,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
fabianr74,1700,tjw4343,1796,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
GaiusCorneliusScipio,1196,Black3ned77,1059,2019.04.30,Rated Classical game,d3,Classical,Tuesday
TomBa88,1887,mohamedtaken,1658,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Simonkys,1478,Bilbo9,1500,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
HumansAreInsane,1546,Orion9328,1374,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/yYpjCgOR,e4,Blitz,Tuesday
xBrontx,1538,Ronnyel,1565,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
pinallwizard,1281,agt_chess,1258,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Reineluaine,2170,Emily29,2150,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
gorizav,1848,venerabile48,1775,2019.04.30,Rated Rapid game,c4,Rapid,Tuesday
QueenKataa,1217,AncoMarcio,1233,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
el_phenomeno,1170,QwertyMasterr,1144,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
Mawile-Mega,1361,AJJShor,1159,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
Aracaju,1918,T_101,2037,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
CRenatoJLS,1068,JayKon17,1132,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
fenix-games-shop,1115,JulianBandorf,1171,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Narvutar1324,1024,yDeZ,963,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
LIEME06,2189,Shilichkov,2381,2019.04.30,Rated Bullet tournament https://lichess.org/tournament/WlwPXAfI,a4,Bullet,Tuesday
Thumnor,1059,madlad57,1047,2019.04.30,Rated Classical game,e4,Classical,Tuesday
Totigol,1502,naffies,1616,2019.04.30,Rated Rapid game,c4,Rapid,Tuesday
Bamm_Rubble,2219,Xilog,2241,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
apple4lex,1525,Mikey113,1512,2019.04.30,Rated Classical game,Nf3,Classical,Tuesday
Max42,1522,akverma47,1489,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
FeelsKappablancaMan,1697,torhh,1687,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
sxakisto,1661,yavuzondem,1581,2019.04.30,Rated Classical game,e4,Classical,Tuesday
hrngnc,1786,Jpmuelle,1854,2019.04.30,Rated Classical game,e4,Classical,Tuesday
Vasily000,1033,merveinal,999,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Rigglethor,911,PunisherYahya,903,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
fashman,1317,MongolKhan,1298,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
olga1006,1390,Tortilaman1800,1373,2019.04.30,Rated Classical game,e4,Classical,Tuesday
bozzi,1308,stlnewguy2,1327,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
ergatia,1535,danielhxp,1477,2019.04.30,Rated Rapid game,c4,Rapid,Tuesday
beshoysalama,1331,kaayanpcs,1344,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
rokkee,1491,DoctorNobody9,1497,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
rapgame1,1933,cheesedout,1820,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
Suoerm,1215,RaffyKhalifa,1165,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
enzino63,1430,Morgan_74,1374,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
jefish003,1089,TheWindUpKafka,1113,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
eabrewer50,1004,erkin004,931,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
miguelgp87,1321,yusufdnz,1190,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
PrinceSiris,1111,booksmaster,1146,2019.04.30,Rated Classical game,e4,Classical,Tuesday
Cisco-esp,1724,paparucho38,1599,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
civvie,1409,dark_gundam,1409,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
rhotproda,1931,Miguelengel,1848,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
SirJon,1287,janoshski,1451,2019.04.30,Rated Classical game,d4,Classical,Tuesday
karakazan3701,1500,Carlos_Marrero,1474,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
agrolegolas,1701,ChaiT,1712,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Mkiz,1499,nicolaszs,1485,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Jamjamjim,1698,alllass,1646,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
knuckledusterA,904,Clarabelle1973,856,2019.04.30,Rated Classical game,Nc3,Classical,Tuesday
janhel,2060,Mad-Man,2051,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/wddEvhY9,d4,Blitz,Tuesday
EL-SICILIANO-FINAL,1864,maxivgc,1822,2019.04.30,Rated Classical game,e4,Classical,Tuesday
merhabaaaaa,1439,Sh-Atabay,1473,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
letterss2,1651,Hisenberg89S,1650,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
grandpaflorida,1403,pogrib,1807,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
outlawpeter,1196,e4r,1152,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
estenomacra,1034,mrspinaci,1002,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
EfrainPardo,1869,Kappy,1854,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
Irineujubileu,1004,sebnamek,982,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
Mosfischer,1308,burxx09,1292,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
chupazabra,1500,stoicnoble99,1500,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
flowersnickers,1013,e1mate,1065,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
kieran2,1026,Liimited,1056,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
dosco189,1167,Spacedingo13,1162,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
Kings__gambit,1794,Zuikan,1803,2019.04.30,Rated Blitz game,c4,Blitz,Tuesday
ShameOUA,1169,KamalSH,1191,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
tunisien2200,1840,dingfa,1772,2019.04.30,Rated Blitz game,Nf3,Blitz,Tuesday
gallspach,1773,InoffensiveUsername,1809,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
hydell,1551,LaDonor,1500,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
trojantucker,1361,pase4nik,1366,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
tarek16021967,1435,flopty,1504,2019.04.30,Rated Classical game,d4,Classical,Tuesday
ehrenmann01,1500,Fieldx,1500,2019.04.30,Rated Blitz game,g3,Blitz,Tuesday
sargon6,1713,Plaqueoff,1616,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
olsok,1735,chesstrade,1836,2019.04.30,Rated Bullet tournament https://lichess.org/tournament/vdvWuobL,e4,Bullet,Tuesday
draughtsbrah,1516,Antivirus1978,1552,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
startledgiraffe,1362,bestwillcui,1373,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Boroatatru,1169,dwarfzerker,1155,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Huanchaca,1379,Damarin86,1360,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Nagesh49,1311,Ichneumonidae,1313,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
BadChicken,2252,LIEME06,2220,2019.04.30,Rated Bullet tournament https://lichess.org/tournament/WlwPXAfI,d4,Bullet,Tuesday
Cami15,1296,ashketchung,1326,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
bedfevzi,924,reactionn,900,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Imenator,1212,prLirawton,1249,2019.04.30,Rated Blitz game,c4,Blitz,Tuesday
Adt192,1339,cferrando,1369,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
Jessejames88,2343,angelaguero,2361,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Dr_Zaki,1431,MrCharlieTaylor1970,1452,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
countmichael,1569,xavier8888,1573,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
PJBarron,1848,hjavier23,1889,2019.04.30,Rated Blitz game,c4,Blitz,Tuesday
Chessczar916,1500,Kamalbb10,1564,2019.04.30,Rated Classical game,d4,Classical,Tuesday
adk999,908,Duarty,801,2019.04.30,Rated Blitz game,f4,Blitz,Tuesday
Nubivagem,1187,BunnyRabbit995,1257,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
phoe2693,1524,Ptitzeub,1500,2019.04.30,Rated Bullet game,g4,Bullet,Tuesday
remixchess,1357,Blindfold-only,1595,2019.04.30,Rated Rapid game,Nf3,Rapid,Tuesday
Anonym007,1586,garrulle,1443,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/Zq30xPrp,e4,Blitz,Tuesday
efraco,1631,littlejohnnyxx,1726,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
mahmutt45,1128,Plirbo,1122,2019.04.30,Rated Blitz game,Nf3,Blitz,Tuesday
FilipeCL,1271,Evaldas_Sakinis,1324,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
dz18,1678,FCF3,1631,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
zasdfsds,1725,kuhreem,1760,2019.04.30,Rated Blitz game,b3,Blitz,Tuesday
mert_13,1144,uur580,1067,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
sdgmklg,1695,Pedrocons1717,1691,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
chessguillo,989,Kreasy_Bear,891,2019.04.30,Rated Bullet game,c4,Bullet,Tuesday
alisafariii76,1707,rezoons,1744,2019.04.30,Rated Classical game,d4,Classical,Tuesday
T_101,2062,TheNumskull,1990,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
majid_king,1952,JEANKA_TR,1901,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
SteveL99,2058,aytogel,1893,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
justlearnin,1494,ugboss,1556,2019.04.30,Rated Blitz game,b3,Blitz,Tuesday
Mrwhite44,1965,Elcampeoncito23,1898,2019.04.30,Rated Bullet game,c4,Bullet,Tuesday
swair,1810,gameras,1745,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Landau00,1041,AamerAnwer,1050,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
helamarocha,1313,GP33,1312,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
LeoMors,1754,vkalyan,1725,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
anakin8,901,Diegolas,943,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
almirarizqiyya,1683,Rolando1,1806,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
Jefcalgaro,1694,binenbojm,1679,2019.04.30,Rated Classical game,e4,Classical,Tuesday
Tavo_21,1428,MisterPorto,1402,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Ersdtkt,1317,hotelcasino,1296,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
ammarbougossa,1989,FormelKn,2191,2019.04.30,Rated Classical game,d4,Classical,Tuesday
hhbc41,1535,offermeadraw,1595,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
Chaz36,1369,Flo21,1338,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
lp24,2073,alexei007,2068,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
rchyzh,1700,acsm92,1888,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
AlexanderHorowitz,1299,timothyadams,1348,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Karaku,1755,KunoUkno,1732,2019.04.30,Rated Bullet game,d3,Bullet,Tuesday
Filifinsk,1413,Jancsi77,1408,2019.04.30,Rated Classical game,d3,Classical,Tuesday
DorelSeIntoarce,1633,geracanas,1652,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
modexxx,964,idriss_tafala,893,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
rizwanch,1814,chrisgat,1777,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
xmunix,1531,firstwar,1543,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
therealdmill,1992,skyrat,1963,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
Os-Ama,1739,D_Aparicio,1679,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
I_no_play_very_good,1310,Chesstian_Horse,1325,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
TheKingCharlesCav,1624,Steedmachine,1624,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Johnnylats,1394,Viktor_Petrovuch,1396,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
mr_mustache,1229,Earl_92,1431,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Varjas_Miklos,1666,periodictable,1671,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
shotstopper,1159,mel782,1440,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
tvoya___mamka,1240,ARebours,1222,2019.04.30,Rated Blitz game,c3,Blitz,Tuesday
dlman,1675,faselcuk,1708,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
chessguy1010,1759,sempurna89,1758,2019.04.30,Rated Rapid game,f4,Rapid,Tuesday
mertedip,1507,kjarvez,1594,2019.04.30,Rated Classical game,e4,Classical,Tuesday
The-Punisher-3,1125,Etmener,993,2019.04.30,Rated Blitz game,e3,Blitz,Tuesday
almirarizqiyya,1655,manchesstr,1516,2019.04.30,Rated Bullet game,g3,Bullet,Tuesday
kuzumate,1303,Qaian,1288,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
davelangridge,1154,yzg09,906,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
ygt1239800,1742,ymenyavseploho,1268,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Nosren,1629,danski,1476,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
adielmartins,1459,GainMo,1410,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/Q9DutcUh,d4,Blitz,Tuesday
maher2000,1472,Rudi_Harjo,1487,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/Q9DutcUh,d4,Blitz,Tuesday
GermanRomano,1861,A1959,1890,2019.04.30,Rated Classical game,e4,Classical,Tuesday
fernandau,882,Chaoticserinity,897,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
Fredrik7ers1,1361,Mglntn,1369,2019.04.30,Rated Blitz game,Nf3,Blitz,Tuesday
Moha98med,1500,imie,1474,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Alevaspan,1367,bigblindbets,1333,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
what9999,1488,Akerim10,1500,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Brn3556,1521,jamesb0ndage,1511,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
mlfmagic,1492,voyto,1513,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
rhtdmuday,1592,silvasguijvlle,1549,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
omidradmehr,1438,hurricane0788,1454,2019.04.30,Rated Rapid tournament https://lichess.org/tournament/PxNa5zeW,e4,Rapid,Tuesday
Rayon003,1383,Gustavov231,1316,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Culitos,1058,Pierozzo,1087,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
Graysmith,1658,Bghger,1509,2019.04.30,Rated Bullet tournament https://lichess.org/tournament/m5CNdcpr,e4,Bullet,Tuesday
MarcusBayern,1732,Perramus,1620,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
wwsilva,1656,ibn_Dahir,1547,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
albertopiolin,1751,vishyanand00,1620,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/7XMoG4vj,e4,Blitz,Tuesday
Vuki312,1751,Mattace,1831,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
petrous13,1919,Dd0mino2,1921,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
kingkong11,1852,Nb1,1835,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/wQNEgYqH,e4,Blitz,Tuesday
dinesan,1513,Shram-spb,1494,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
boban656,1461,GarThaleon,1448,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
archille1,997,Bobble96,949,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/wQNEgYqH,e4,Blitz,Tuesday
lucrocky,1162,False13,1157,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
mazchess,1807,worm1,1657,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
SourceRichemale,1417,vikas043,1378,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
jesuisuneloutre,1303,Decathloner,1405,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
jonathonbrady,1355,ex_5_libris,1339,2019.04.30,Rated Bullet game,Nf3,Bullet,Tuesday
Phoenix2323,1359,finik01,1373,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
mdioxy,1798,Ireallydontcare,1784,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
Ya-Boy,1715,memagnus,1722,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
valencianista11,1782,Sutano,1837,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
adrlen,964,knemsiz,974,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
jgbm,1160,Ayberk2182,1208,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
smartalex,1850,piur,1763,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
javad1982,1736,FeelsKappablancaMan,1718,2019.04.30,Rated Blitz game,b3,Blitz,Tuesday
sssmashy,1380,huxl,1357,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
blurph,909,Antrakan,1005,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Jadenr22,1094,StephiKitti,838,2019.04.30,Rated Classical game,d4,Classical,Tuesday
SuperNerd22,1127,queoro,1118,2019.04.30,Rated Blitz game,g3,Blitz,Tuesday
molivares2,1459,HetsGama,1451,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Figs_90,1644,JAHVESEBOAT,1590,2019.04.30,Rated Classical game,e4,Classical,Tuesday
Castellabate,1658,BlunderTastic,1628,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
Gallo_con_Tennis,1403,MagnusCarlsen1111,1361,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
ahmed1989,1476,Atapinhas,1500,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Mabunmi,1442,Uzamakiuchiha,1438,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Anamor,1518,you_a_mind_poor,1219,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/Q9DutcUh,e4,Blitz,Tuesday
faroukcs,1180,Crimemasterlogo,1178,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Ray2015,1363,gamebit19,1447,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
sire_noel,1263,Matte003,1286,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
leonardo2017,2142,czechchess,2098,2019.04.30,Rated Rapid game,c4,Rapid,Tuesday
abbasarash52,1836,Jager04,1839,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
kingkong11,1866,Emekashirov,1860,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/wQNEgYqH,e4,Blitz,Tuesday
danysioux,1696,Elamir2002,1648,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Mohammad_Aldamman,1361,Andy108,1375,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
bodya17,2157,Rybo343,2175,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
Tomoe91,1679,JC-FS,1723,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
mrfenker,1035,huskyenrique,1058,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
scarboroughfair,1996,mr-vahiiiid,1615,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/toUiqYDi,e4,Blitz,Tuesday
RschS,1193,Sirkekolas,1174,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
mazchess,1865,Neloreis,1898,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
PawnaldMcDonald,1552,llogo,1596,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
teaandtoast,1612,bestuz,1434,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Etmener,965,The-Punisher-3,1203,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
martinmestl,1864,Haida,1624,2019.04.30,Rated Blitz game,b3,Blitz,Tuesday
AlexeyMK,1266,Mickole,1308,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
nicks96,1104,Fabio26,1141,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
JACKIEEEEEE,1244,morpfisch,1505,2019.04.30,Rated Bullet tournament https://lichess.org/tournament/m5CNdcpr,d4,Bullet,Tuesday
cano-kan,1968,DAVIDTROYACHILLES,1891,2019.04.30,Rated Bullet game,c3,Bullet,Tuesday
koind,1519,Ruy_Saraiva,1526,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
Ramirez2311,1788,kingkong11,1855,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/wQNEgYqH,d4,Blitz,Tuesday
descartador,1470,Patser,1540,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
Anamor,1500,Jak4,1388,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/Q9DutcUh,e4,Blitz,Tuesday
repertory,1961,Hetasan,1855,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
EfekanAy,1500,sain21,1512,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
danielgarciamxcu,1512,gmjaguars,1629,2019.04.30,Rated Blitz game,c4,Blitz,Tuesday
nimzohawk,1643,FlibGib,1582,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
geraldnon1,952,JaxonFrank,1041,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
MCJOTAE,1865,MuhammedAlnajjar,1970,2019.04.30,Rated Classical game,e4,Classical,Tuesday
Lrussell513,1695,equilink,1690,2019.04.30,Rated Classical game,e4,Classical,Tuesday
sametuzun,1399,hurricane0788,1484,2019.04.30,Rated Rapid tournament https://lichess.org/tournament/PxNa5zeW,e4,Rapid,Tuesday
tsdc,1500,sadsadsadsad,1506,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
gradinafrica,1064,MassiveLykai,1203,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
jpp078,1717,Polotskgas,1792,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
azyk,934,IBOURK,957,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
senseisam,1278,pinallwizard,1280,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
saino1,1495,Lacir,1646,2019.04.30,Rated Rapid game,f4,Rapid,Tuesday
brunogomez,1089,Andresss97,1170,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
nagamra,1214,chicobento,1230,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
MwendaMovous,1325,Alicis,1410,2019.04.30,Rated Blitz game,c4,Blitz,Tuesday
Leo_Lord,1383,DBEddy1105,1381,2019.04.30,Rated Blitz game,c4,Blitz,Tuesday
dshaw,1036,joebjoe,1116,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
Yeptis,1762,chelomate,1729,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
Rockbalboa,1229,tarleton,1234,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
BlueSoup,1511,herdem,1454,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Alx17,1195,Chariman4755,1093,2019.04.30,Rated Bullet game,e3,Bullet,Tuesday
PawnTown7,1257,Goldsarchery,1367,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
flunn01,1094,ddiemar,1067,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
metabolism,1429,Luca_Caram,1462,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Shelena,1960,siaj,2133,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
coldsteam,1425,Broodje-Salami,1521,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
shimianto,1557,JarlCarl,1582,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
AlessandroU,1468,pedrovenanci,1486,2019.04.30,Rated Classical game,d4,Classical,Tuesday
Gliesov,1864,peonamigo,1897,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
xfede,1481,trhaburu,1517,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
thojon,946,seewhat,833,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
Sozakh,1581,rookceps,1891,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
micuenta,1378,jrobertson17,1355,2019.04.30,Rated Classical game,d4,Classical,Tuesday
ndc5057,1466,DemontierJr,1472,2019.04.30,Rated Classical game,Nf3,Classical,Tuesday
Chalo_Meza,1556,Rosmone,1564,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
MaxwellCornet,1301,zSkyFall,1323,2019.04.30,Rated Classical game,e4,Classical,Tuesday
au4all,1421,Rachidbenacha,1423,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
abhishek1015,1300,continigian46,1315,2019.04.30,Rated Bullet game,f4,Bullet,Tuesday
spouyu,1948,mazchess,1943,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Jaygeee,1084,heroiccocoa,813,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
juanmavkv,1567,nanapudding,1314,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
PrestonWoolsey,1141,chessguillo,1006,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
eunaosei54,1135,Yasinn45,1090,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
